"","seconds","diff","GameID","quarter","event"
"1",600,0,1,1,"h jump ball  won"
"2",582,2,1,1,"h 2 made"
"3",566,0,1,1,"a 2 made"
"4",548,2,1,1,"h 2 made"
"5",537,2,1,1,"a turnover"
"6",537,2,1,1,"a turnover"
"7",536,4,1,1,"h 2 made"
"8",515,4,1,1,"a 3 missed"
"9",515,4,1,1,"a rebound offensive"
"10",509,4,1,1,"a 2 missed"
"11",509,4,1,1,"h rebound defensive"
"12",509,4,1,1,"a foul"
"13",487,4,1,1,"h 3 missed"
"14",487,4,1,1,"a rebound defensive"
"15",473,4,1,1,"a 3 missed"
"16",473,4,1,1,"a rebound offensive"
"17",469,2,1,1,"a 2 made"
"18",458,5,1,1,"h 3 made"
"19",420,5,1,1,"h 3 missed"
"20",420,5,1,1,"a rebound defensive"
"21",398,5,1,1,"a 3 missed"
"22",398,5,1,1,"a rebound offensive"
"23",386,5,1,1,"a 3 missed"
"24",386,5,1,1,"h rebound defensive"
"25",381,5,1,1,"a foul"
"26",367,7,1,1,"h 2 made"
"27",353,7,1,1,"h foul"
"28",345,7,1,1,"a 2 missed"
"29",345,7,1,1,"h rebound defensive"
"30",331,7,1,1,"h 3 missed"
"31",331,7,1,1,"a rebound defensive"
"32",323,7,1,1,"a 2 missed"
"33",323,7,1,1,"h rebound defensive"
"34",323,7,1,1,"a foul"
"35",304,7,1,1,"h turnover"
"36",299,7,1,1,"a turnover"
"37",286,7,1,1,"h 3 missed"
"38",286,7,1,1,"a rebound defensive"
"39",262,7,1,1,"a 2 missed"
"40",262,7,1,1,"a rebound offensive"
"41",260,7,1,1,"a 3 missed"
"42",260,7,1,1,"h rebound defensive"
"43",260,7,1,1,"a timeOut"
"44",233,4,1,1,"a 3 made"
"45",218,4,1,1,"h turnover"
"46",202,4,1,1,"a 2 missed"
"47",202,4,1,1,"a rebound offensive"
"48",193,4,1,1,"a 3 missed"
"49",193,4,1,1,"a rebound offensive"
"50",177,4,1,1,"a 2 missed"
"51",177,4,1,1,"h rebound defensive"
"52",170,6,1,1,"h 2 made"
"53",158,6,1,1,"a rebound offensive"
"54",158,6,1,1,"h rebound defensive"
"55",137,6,1,1,"h 3 missed"
"56",137,6,1,1,"a rebound defensive"
"57",116,4,1,1,"a 2 made"
"58",99,4,1,1,"h 2 missed"
"59",99,4,1,1,"h rebound offensive"
"60",96,4,1,1,"h 3 missed"
"61",96,4,1,1,"h rebound offensive"
"62",79,6,1,1,"h 2 made"
"63",72,6,1,1,"a turnover"
"64",68,8,1,1,"h 2 made"
"65",65,8,1,1,"h foul"
"66",57,8,1,1,"a turnover"
"67",52,10,1,1,"h 2 made"
"68",26,10,1,1,"a turnover"
"69",20,10,1,1,"a foul"
"70",20,10,1,1,"h free throw 1 of 2 missed"
"71",20,10,1,1,"h free throw 2 of 2 missed"
"72",20,10,1,1,"h rebound offensive"
"73",11,10,1,1,"h turnover"
"74",3,7,1,1,"a 3 made"
"75",591,7,1,2,"h turnover"
"76",586,5,1,2,"a 2 made"
"77",568,5,1,2,"h 3 missed"
"78",568,5,1,2,"h rebound offensive"
"79",562,7,1,2,"h 2 made"
"80",548,5,1,2,"a 2 made"
"81",528,5,1,2,"a foul"
"82",514,7,1,2,"h 2 made"
"83",504,7,1,2,"a turnover"
"84",489,7,1,2,"h 3 missed"
"85",489,7,1,2,"a rebound defensive"
"86",468,5,1,2,"a 2 made"
"87",439,5,1,2,"h 2 missed"
"88",439,5,1,2,"a rebound defensive"
"89",420,3,1,2,"a 2 made"
"90",420,3,1,2,"h timeOut"
"91",407,3,1,2,"h 3 missed"
"92",407,3,1,2,"a rebound defensive"
"93",400,3,1,2,"h foul"
"94",389,3,1,2,"a turnover"
"95",378,3,1,2,"h 3 missed"
"96",378,3,1,2,"a rebound defensive"
"97",367,1,1,2,"a 2 made"
"98",356,1,1,2,"h 3 missed"
"99",356,1,1,2,"a rebound defensive"
"100",349,1,1,2,"a turnover"
"101",349,1,1,2,"a turnover"
"102",327,1,1,2,"h turnover"
"103",306,1,1,2,"a 3 missed"
"104",306,1,1,2,"h rebound defensive"
"105",282,1,1,2,"h 2 missed"
"106",282,1,1,2,"h rebound offensive"
"107",275,1,1,2,"h 2 missed"
"108",275,1,1,2,"h rebound offensive"
"109",271,4,1,2,"h 3 made"
"110",255,2,1,2,"a 2 made"
"111",238,2,1,2,"a foul"
"112",238,3,1,2,"h free throw 1 of 2 made"
"113",238,4,1,2,"h free throw 2 of 2 made"
"114",230,4,1,2,"a 2 missed"
"115",230,4,1,2,"h rebound defensive"
"116",215,4,1,2,"h 2 missed"
"117",215,4,1,2,"a rebound defensive"
"118",201,4,1,2,"a turnover"
"119",194,4,1,2,"h turnover"
"120",193,4,1,2,"h foul"
"121",183,4,1,2,"a 2 missed"
"122",183,4,1,2,"h rebound defensive"
"123",159,7,1,2,"h 3 made"
"124",132,7,1,2,"a 3 missed"
"125",132,7,1,2,"h rebound defensive"
"126",129,7,1,2,"h turnover"
"127",129,7,1,2,"h turnover"
"128",129,7,1,2,"a timeOut"
"129",112,7,1,2,"h foul"
"130",112,6,1,2,"a free throw 1 of 1 made"
"131",112,6,1,2,"a free throw 1 of 1 missed"
"132",94,6,1,2,"a 2 missed"
"133",94,6,1,2,"h rebound defensive"
"134",94,8,1,2,"h 2 made"
"135",50,8,1,2,"a 3 missed"
"136",50,8,1,2,"h rebound defensive"
"137",44,8,1,2,"a foul"
"138",42,9,1,2,"h free throw 1 of 2 made"
"139",42,10,1,2,"h free throw 2 of 2 made"
"140",26,10,1,2,"h foul"
"141",26,9,1,2,"a free throw 1 of 2 made"
"142",26,9,1,2,"a free throw 2 of 2 missed"
"143",26,9,1,2,"h rebound defensive"
"144",4,9,1,2,"h 3 missed"
"145",4,9,1,2,"a rebound defensive"
"146",4,9,1,2,"h foul"
"147",4,8,1,2,"a free throw 1 of 2 made"
"148",4,7,1,2,"a free throw 2 of 2 made"
"149",572,7,1,3,"a 2 missed"
"150",572,7,1,3,"h rebound defensive"
"151",572,7,1,3,"a foul"
"152",568,10,1,3,"h 3 made"
"153",552,10,1,3,"a turnover"
"154",548,12,1,3,"h 2 made"
"155",541,12,1,3,"a turnover"
"156",539,14,1,3,"h 2 made"
"157",539,14,1,3,"a timeOut"
"158",524,12,1,3,"a 2 made"
"159",506,12,1,3,"h 2 missed"
"160",506,12,1,3,"h rebound offensive"
"161",495,14,1,3,"h 2 made"
"162",469,11,1,3,"a 3 made"
"163",444,13,1,3,"h 2 made"
"164",442,13,1,3,"h foul"
"165",418,13,1,3,"a 2 missed"
"166",418,13,1,3,"h rebound defensive"
"167",413,13,1,3,"h turnover"
"168",413,13,1,3,"h foul"
"169",413,12,1,3,"a free throw 1 of 2 made"
"170",413,11,1,3,"a free throw 2 of 2 made"
"171",396,13,1,3,"h 2 made"
"172",375,13,1,3,"a 3 missed"
"173",375,13,1,3,"h rebound defensive"
"174",356,15,1,3,"h 2 made"
"175",334,15,1,3,"a 2 missed"
"176",334,15,1,3,"a rebound offensive"
"177",327,15,1,3,"a 3 missed"
"178",327,15,1,3,"h rebound defensive"
"179",318,15,1,3,"a rebound defensive"
"180",305,15,1,3,"a 2 missed"
"181",305,15,1,3,"h rebound defensive"
"182",294,17,1,3,"h 2 made"
"183",281,17,1,3,"a turnover"
"184",275,19,1,3,"h 2 made"
"185",275,19,1,3,"h foul"
"186",275,19,1,3,"a foul"
"187",275,19,1,3,"a timeOut"
"188",275,19,1,3,"h free throw 1 of 1 missed"
"189",275,19,1,3,"a rebound defensive"
"190",256,17,1,3,"a 2 made"
"191",232,17,1,3,"h rebound offensive"
"192",232,17,1,3,"h turnover"
"193",228,17,1,3,"h foul"
"194",228,17,1,3,"a free throw 1 of 2 missed"
"195",228,17,1,3,"a free throw 2 of 2 missed"
"196",228,17,1,3,"h rebound defensive"
"197",189,17,1,3,"h turnover"
"198",183,15,1,3,"a 2 made"
"199",171,15,1,3,"h 3 missed"
"200",171,15,1,3,"a rebound defensive"
"201",164,15,1,3,"h foul"
"202",164,15,1,3,"h timeOut"
"203",164,14,1,3,"a free throw 1 of 2 made"
"204",164,13,1,3,"a free throw 2 of 2 made"
"205",141,13,1,3,"h 3 missed"
"206",141,13,1,3,"a rebound defensive"
"207",122,13,1,3,"a 3 missed"
"208",122,13,1,3,"h rebound defensive"
"209",122,13,1,3,"a foul"
"210",122,13,1,3,"h turnover"
"211",113,11,1,3,"a 2 made"
"212",86,11,1,3,"h 2 missed"
"213",86,11,1,3,"a rebound defensive"
"214",80,9,1,3,"a 2 made"
"215",63,11,1,3,"h 2 made"
"216",42,9,1,3,"a 2 made"
"217",7,9,1,3,"a foul"
"218",7,9,1,3,"h 3 missed"
"219",7,9,1,3,"a rebound defensive"
"220",584,9,1,4,"h 3 missed"
"221",584,9,1,4,"a rebound defensive"
"222",574,9,1,4,"a turnover"
"223",552,9,1,4,"h 3 missed"
"224",552,9,1,4,"a rebound defensive"
"225",538,9,1,4,"a 2 missed"
"226",538,9,1,4,"h rebound defensive"
"227",518,12,1,4,"h 3 made"
"228",496,12,1,4,"a 2 missed"
"229",496,12,1,4,"a rebound offensive"
"230",490,12,1,4,"a 2 missed"
"231",490,12,1,4,"h rebound defensive"
"232",488,12,1,4,"h turnover"
"233",471,12,1,4,"a 3 missed"
"234",471,12,1,4,"h rebound defensive"
"235",467,12,1,4,"a foul"
"236",459,12,1,4,"a foul"
"237",448,15,1,4,"h 3 made"
"238",402,15,1,4,"h foul"
"239",394,12,1,4,"a 3 made"
"240",382,12,1,4,"h 2 missed"
"241",382,12,1,4,"a rebound defensive"
"242",370,12,1,4,"h rebound defensive"
"243",355,14,1,4,"h 2 made"
"244",355,14,1,4,"a foul"
"245",355,14,1,4,"h foul"
"246",355,14,1,4,"h free throw 1 of 1 missed"
"247",355,14,1,4,"a rebound defensive"
"248",349,14,1,4,"a turnover"
"249",349,14,1,4,"a turnover"
"250",334,14,1,4,"h 2 missed"
"251",334,14,1,4,"a rebound defensive"
"252",313,12,1,4,"a 2 made"
"253",309,12,1,4,"a foul"
"254",309,12,1,4,"a foul"
"255",309,13,1,4,"h free throw 1 of 2 made"
"256",309,14,1,4,"h free throw 2 of 2 made"
"257",309,14,1,4,"a foul"
"258",309,15,1,4,"h free throw 1 of 1 made"
"259",309,15,1,4,"h foul"
"260",298,15,1,4,"a turnover"
"261",290,17,1,4,"h 2 made"
"262",282,17,1,4,"a turnover"
"263",276,17,1,4,"h 2 missed"
"264",276,17,1,4,"a rebound defensive"
"265",266,17,1,4,"a 3 missed"
"266",266,17,1,4,"h rebound defensive"
"267",254,20,1,4,"h 3 made"
"268",239,20,1,4,"h foul"
"269",227,20,1,4,"a 2 missed"
"270",227,20,1,4,"a rebound offensive"
"271",219,17,1,4,"a 3 made"
"272",197,17,1,4,"h 2 missed"
"273",197,17,1,4,"a rebound defensive"
"274",197,17,1,4,"h foul"
"275",189,14,1,4,"a 3 made"
"276",186,14,1,4,"a foul"
"277",186,15,1,4,"h free throw 1 of 2 made"
"278",186,15,1,4,"h free throw 2 of 2 missed"
"279",186,15,1,4,"h rebound offensive"
"280",171,15,1,4,"h 2 missed"
"281",171,15,1,4,"h rebound offensive"
"282",171,15,1,4,"h timeOut"
"283",130,15,1,4,"h 3 missed"
"284",130,15,1,4,"h rebound offensive"
"285",126,15,1,4,"h 2 missed"
"286",126,15,1,4,"a rebound defensive"
"287",121,15,1,4,"h rebound defensive"
"288",121,15,1,4,"a foul"
"289",121,15,1,4,"h free throw 1 of 2 missed"
"290",121,15,1,4,"h free throw 2 of 2 missed"
"291",121,15,1,4,"a rebound defensive"
"292",116,15,1,4,"a turnover"
"293",111,15,1,4,"h turnover"
"294",92,15,1,4,"a 2 missed"
"295",92,15,1,4,"h rebound defensive"
"296",77,15,1,4,"a foul"
"297",77,16,1,4,"h free throw 1 of 2 made"
"298",77,16,1,4,"h free throw 2 of 2 missed"
"299",77,16,1,4,"a rebound defensive"
"300",77,16,1,4,"h foul"
"301",77,15,1,4,"a free throw 1 of 2 made"
"302",77,14,1,4,"a free throw 2 of 2 made"
"303",57,14,1,4,"a foul"
"304",57,14,1,4,"h free throw 1 of 2 missed"
"305",57,15,1,4,"h free throw 2 of 2 made"
"306",25,15,1,4,"a rebound offensive"
"307",23,15,1,4,"a 3 missed"
"308",23,15,1,4,"h rebound defensive"
"309",15,15,1,4,"h 2 missed"
"310",15,15,1,4,"h rebound offensive"
"311",8,17,1,4,"h 2 made"
"312",600,0,2,1,"a jump ball  won"
"313",588,-2,2,1,"a 2 made"
"314",566,-2,2,1,"h turnover"
"315",544,-2,2,1,"a 2 missed"
"316",544,-2,2,1,"h rebound defensive"
"317",529,-2,2,1,"h turnover"
"318",525,-2,2,1,"a turnover"
"319",521,0,2,1,"h 2 made"
"320",504,0,2,1,"h rebound defensive"
"321",503,0,2,1,"a foul"
"322",490,2,2,1,"h 2 made"
"323",476,2,2,1,"a turnover"
"324",465,4,2,1,"h 2 made"
"325",451,4,2,1,"a turnover"
"326",443,4,2,1,"h turnover"
"327",431,4,2,1,"a 3 missed"
"328",431,4,2,1,"h rebound defensive"
"329",410,4,2,1,"h 2 missed"
"330",410,4,2,1,"a rebound defensive"
"331",402,4,2,1,"a 2 missed"
"332",402,4,2,1,"h rebound defensive"
"333",381,4,2,1,"h 2 missed"
"334",381,4,2,1,"h rebound offensive"
"335",378,4,2,1,"h 2 missed"
"336",378,4,2,1,"a rebound defensive"
"337",371,4,2,1,"a 3 missed"
"338",371,4,2,1,"h rebound defensive"
"339",359,4,2,1,"h 2 missed"
"340",359,4,2,1,"h rebound offensive"
"341",356,6,2,1,"h 2 made"
"342",341,3,2,1,"a 3 made"
"343",323,3,2,1,"h 3 missed"
"344",323,3,2,1,"a rebound defensive"
"345",307,1,2,1,"a 2 made"
"346",287,3,2,1,"h 2 made"
"347",276,3,2,1,"h foul"
"348",266,3,2,1,"a 3 missed"
"349",266,3,2,1,"a rebound offensive"
"350",261,3,2,1,"h foul"
"351",261,3,2,1,"h timeOut"
"352",261,3,2,1,"a free throw 1 of 3 missed"
"353",261,2,2,1,"a free throw 2 of 3 made"
"354",261,1,2,1,"a free throw 3 of 3 made"
"355",261,1,2,1,"h turnover"
"356",251,-2,2,1,"a 3 made"
"357",229,-2,2,1,"h turnover"
"358",211,-2,2,1,"h rebound defensive"
"359",195,-2,2,1,"h rebound offensive"
"360",188,-2,2,1,"a foul"
"361",188,-2,2,1,"h free throw 1 of 2 missed"
"362",188,-1,2,1,"h free throw 2 of 2 made"
"363",168,-3,2,1,"a 2 made"
"364",168,-3,2,1,"h foul"
"365",168,-3,2,1,"a foul"
"366",168,-3,2,1,"a free throw 1 of 1 missed"
"367",168,-3,2,1,"h rebound defensive"
"368",157,0,2,1,"h 3 made"
"369",135,-3,2,1,"a 3 made"
"370",117,-3,2,1,"h turnover"
"371",104,-6,2,1,"a 3 made"
"372",98,-6,2,1,"a foul"
"373",83,-6,2,1,"h turnover"
"374",74,-6,2,1,"a 3 missed"
"375",74,-6,2,1,"a rebound offensive"
"376",63,-9,2,1,"a 3 made"
"377",46,-9,2,1,"h turnover"
"378",33,-12,2,1,"a 3 made"
"379",15,-12,2,1,"h 2 missed"
"380",15,-12,2,1,"a rebound defensive"
"381",3,-12,2,1,"h rebound defensive"
"382",581,-12,2,2,"h 3 missed"
"383",581,-12,2,2,"a rebound defensive"
"384",567,-15,2,2,"a 3 made"
"385",541,-15,2,2,"h 2 missed"
"386",541,-15,2,2,"h turnover"
"387",529,-15,2,2,"a turnover"
"388",521,-13,2,2,"h 2 made"
"389",499,-15,2,2,"a 2 made"
"390",478,-13,2,2,"h 2 made"
"391",463,-13,2,2,"a turnover"
"392",443,-13,2,2,"a foul"
"393",434,-11,2,2,"h 2 made"
"394",422,-11,2,2,"a turnover"
"395",422,-11,2,2,"a turnover"
"396",415,-11,2,2,"h turnover"
"397",394,-11,2,2,"a turnover"
"398",386,-9,2,2,"h 2 made"
"399",370,-9,2,2,"a 2 missed"
"400",370,-9,2,2,"h rebound defensive"
"401",361,-9,2,2,"h 2 missed"
"402",361,-9,2,2,"a rebound defensive"
"403",360,-9,2,2,"h foul"
"404",342,-11,2,2,"a 2 made"
"405",325,-11,2,2,"h 2 missed"
"406",325,-11,2,2,"a rebound defensive"
"407",314,-13,2,2,"a 2 made"
"408",289,-13,2,2,"h 2 missed"
"409",289,-13,2,2,"h rebound offensive"
"410",286,-11,2,2,"h 2 made"
"411",279,-13,2,2,"a 2 made"
"412",279,-13,2,2,"h foul"
"413",279,-13,2,2,"a foul"
"414",279,-13,2,2,"a foul"
"415",279,-13,2,2,"h free throw 1 of 1 missed"
"416",279,-14,2,2,"a free throw 1 of 1 made"
"417",270,-14,2,2,"h 3 missed"
"418",270,-14,2,2,"h rebound offensive"
"419",258,-14,2,2,"h 3 missed"
"420",258,-14,2,2,"a rebound defensive"
"421",251,-14,2,2,"a 3 missed"
"422",251,-14,2,2,"h rebound defensive"
"423",232,-14,2,2,"h 3 missed"
"424",232,-14,2,2,"a rebound defensive"
"425",213,-16,2,2,"a 2 made"
"426",191,-16,2,2,"h 2 missed"
"427",191,-16,2,2,"a rebound defensive"
"428",176,-16,2,2,"a 2 missed"
"429",176,-16,2,2,"h rebound defensive"
"430",167,-16,2,2,"h 2 missed"
"431",167,-16,2,2,"h rebound offensive"
"432",159,-14,2,2,"h 2 made"
"433",149,-14,2,2,"a turnover"
"434",136,-14,2,2,"a foul"
"435",136,-13,2,2,"h free throw 1 of 2 made"
"436",136,-13,2,2,"h free throw 2 of 2 missed"
"437",136,-13,2,2,"a rebound defensive"
"438",123,-13,2,2,"a turnover"
"439",112,-11,2,2,"h 2 made"
"440",112,-11,2,2,"a timeOut"
"441",91,-11,2,2,"a 3 missed"
"442",91,-11,2,2,"h rebound defensive"
"443",84,-9,2,2,"h 2 made"
"444",68,-12,2,2,"a 3 made"
"445",47,-12,2,2,"h 3 missed"
"446",47,-12,2,2,"h rebound offensive"
"447",41,-10,2,2,"h 2 made"
"448",33,-10,2,2,"a turnover"
"449",33,-10,2,2,"a turnover"
"450",33,-10,2,2,"h timeOut"
"451",8,-10,2,2,"a rebound defensive"
"452",2,-10,2,2,"a 3 missed"
"453",2,-10,2,2,"h rebound defensive"
"454",580,-10,2,3,"a turnover"
"455",567,-10,2,3,"a foul"
"456",552,-10,2,3,"h 2 missed"
"457",552,-10,2,3,"a rebound defensive"
"458",534,-13,2,3,"a 3 made"
"459",515,-13,2,3,"h timeOut"
"460",501,-11,2,3,"h 2 made"
"461",482,-11,2,3,"a 3 missed"
"462",482,-11,2,3,"h rebound defensive"
"463",463,-11,2,3,"h turnover"
"464",446,-13,2,3,"a 2 made"
"465",434,-13,2,3,"h 2 missed"
"466",434,-13,2,3,"h rebound offensive"
"467",434,-11,2,3,"h 2 made"
"468",433,-11,2,3,"a foul"
"469",433,-10,2,3,"h free throw 1 of 1 made"
"470",412,-10,2,3,"a 2 missed"
"471",412,-10,2,3,"h rebound defensive"
"472",397,-8,2,3,"h 2 made"
"473",390,-8,2,3,"h foul"
"474",379,-8,2,3,"a 3 missed"
"475",379,-8,2,3,"a rebound offensive"
"476",366,-8,2,3,"a 3 missed"
"477",366,-8,2,3,"h rebound defensive"
"478",351,-8,2,3,"h 2 missed"
"479",351,-8,2,3,"h rebound offensive"
"480",348,-6,2,3,"h 2 made"
"481",335,-6,2,3,"a 3 missed"
"482",335,-6,2,3,"h rebound defensive"
"483",335,-6,2,3,"a foul"
"484",316,-6,2,3,"h 2 missed"
"485",316,-6,2,3,"a rebound defensive"
"486",311,-8,2,3,"a 2 made"
"487",293,-8,2,3,"h 3 missed"
"488",293,-8,2,3,"a rebound defensive"
"489",293,-8,2,3,"h foul"
"490",278,-8,2,3,"a 2 missed"
"491",278,-8,2,3,"h rebound defensive"
"492",274,-8,2,3,"a foul"
"493",274,-7,2,3,"h free throw 1 of 2 made"
"494",274,-6,2,3,"h free throw 2 of 2 made"
"495",261,-6,2,3,"a 2 missed"
"496",261,-6,2,3,"h rebound defensive"
"497",241,-4,2,3,"h 2 made"
"498",241,-4,2,3,"a timeOut"
"499",220,-4,2,3,"a 2 missed"
"500",220,-4,2,3,"h rebound defensive"
"501",203,-4,2,3,"h turnover"
"502",198,-4,2,3,"a rebound offensive"
"503",186,-7,2,3,"a 3 made"
"504",169,-4,2,3,"h 3 made"
"505",165,-4,2,3,"h foul"
"506",148,-4,2,3,"a 3 missed"
"507",148,-4,2,3,"a rebound offensive"
"508",136,-4,2,3,"a turnover"
"509",134,-4,2,3,"a foul"
"510",134,-3,2,3,"h free throw 1 of 2 made"
"511",134,-2,2,3,"h free throw 2 of 2 made"
"512",121,-2,2,3,"a 3 missed"
"513",121,-2,2,3,"h rebound defensive"
"514",100,-2,2,3,"h 3 missed"
"515",100,-2,2,3,"h rebound offensive"
"516",95,0,2,3,"h 2 made"
"517",80,0,2,3,"a turnover"
"518",66,0,2,3,"h turnover"
"519",44,0,2,3,"a 2 missed"
"520",44,0,2,3,"h rebound defensive"
"521",34,0,2,3,"h turnover"
"522",8,-3,2,3,"a 3 made"
"523",3,-3,2,3,"a foul"
"524",3,-3,2,3,"h free throw 1 of 2 missed"
"525",3,-2,2,3,"h free throw 2 of 2 made"
"526",1,-2,2,3,"a turnover"
"527",1,-2,2,3,"h turnover"
"528",1,-2,2,3,"a 3 missed"
"529",588,-2,2,4,"h turnover"
"530",570,-2,2,4,"a turnover"
"531",570,-2,2,4,"a foul"
"532",570,-2,2,4,"h free throw 1 of 1 missed"
"533",570,-2,2,4,"a foul"
"534",570,-1,2,4,"h free throw 1 of 1 made"
"535",546,-1,2,4,"h turnover"
"536",529,-1,2,4,"a 3 missed"
"537",529,-1,2,4,"h rebound defensive"
"538",512,-1,2,4,"h turnover"
"539",505,-1,2,4,"a 2 missed"
"540",505,-1,2,4,"a rebound offensive"
"541",501,-1,2,4,"a foul"
"542",501,-1,2,4,"h free throw 1 of 1 missed"
"543",487,-1,2,4,"a 2 missed"
"544",487,-1,2,4,"a rebound offensive"
"545",478,-1,2,4,"a 3 missed"
"546",478,-1,2,4,"h rebound defensive"
"547",461,-1,2,4,"h 2 missed"
"548",461,-1,2,4,"a rebound defensive"
"549",440,-3,2,4,"a 2 made"
"550",420,-3,2,4,"h 2 missed"
"551",420,-3,2,4,"a rebound defensive"
"552",406,-5,2,4,"a 2 made"
"553",386,-5,2,4,"a foul"
"554",371,-5,2,4,"h 2 missed"
"555",371,-5,2,4,"a rebound defensive"
"556",357,-7,2,4,"a 2 made"
"557",348,-7,2,4,"a foul"
"558",348,-6,2,4,"h free throw 1 of 2 made"
"559",348,-6,2,4,"h free throw 2 of 2 missed"
"560",348,-6,2,4,"h rebound offensive"
"561",339,-6,2,4,"h turnover"
"562",338,-6,2,4,"h foul"
"563",338,-7,2,4,"a free throw 1 of 2 made"
"564",338,-8,2,4,"a free throw 2 of 2 made"
"565",326,-8,2,4,"a 2 missed"
"566",326,-8,2,4,"h rebound defensive"
"567",290,-8,2,4,"a rebound offensive"
"568",289,-8,2,4,"h foul"
"569",289,-9,2,4,"a free throw 1 of 2 made"
"570",289,-9,2,4,"a free throw 2 of 2 missed"
"571",289,-9,2,4,"a rebound offensive"
"572",279,-11,2,4,"a 2 made"
"573",263,-11,2,4,"h 2 missed"
"574",263,-11,2,4,"h rebound offensive"
"575",263,-11,2,4,"h 2 missed"
"576",263,-11,2,4,"h rebound offensive"
"577",263,-11,2,4,"a foul"
"578",263,-11,2,4,"h timeOut"
"579",263,-11,2,4,"h free throw 1 of 2 missed"
"580",263,-10,2,4,"h free throw 2 of 2 made"
"581",253,-10,2,4,"a rebound offensive"
"582",243,-10,2,4,"a 3 missed"
"583",243,-10,2,4,"h rebound defensive"
"584",233,-10,2,4,"h turnover"
"585",215,-10,2,4,"a turnover"
"586",192,-10,2,4,"h 3 missed"
"587",192,-10,2,4,"a rebound defensive"
"588",171,-10,2,4,"a turnover"
"589",153,-8,2,4,"h 2 made"
"590",130,-8,2,4,"h foul"
"591",130,-8,2,4,"a free throw 1 of 2 missed"
"592",130,-9,2,4,"a free throw 2 of 2 made"
"593",113,-7,2,4,"h 2 made"
"594",92,-7,2,4,"a 3 missed"
"595",92,-7,2,4,"a rebound offensive"
"596",90,-9,2,4,"a 2 made"
"597",77,-9,2,4,"h 2 missed"
"598",77,-9,2,4,"a rebound defensive"
"599",77,-9,2,4,"h foul"
"600",77,-9,2,4,"h timeOut"
"601",63,-9,2,4,"h foul"
"602",63,-10,2,4,"a free throw 1 of 2 made"
"603",63,-10,2,4,"a free throw 2 of 2 missed"
"604",63,-10,2,4,"a rebound offensive"
"605",48,-10,2,4,"a 3 missed"
"606",48,-10,2,4,"h rebound defensive"
"607",27,-10,2,4,"h turnover"
"608",6,-10,2,4,"a 3 missed"
"609",6,-10,2,4,"h rebound defensive"
"610",600,0,3,1,"h jump ball  won"
"611",589,2,3,1,"h 2 made"
"612",576,2,3,1,"h foul"
"613",576,2,3,1,"a 2 missed"
"614",576,2,3,1,"h rebound defensive"
"615",576,2,3,1,"h 2 missed"
"616",576,2,3,1,"a rebound defensive"
"617",554,2,3,1,"a 2 missed"
"618",554,2,3,1,"h rebound defensive"
"619",534,5,3,1,"h 3 made"
"620",509,5,3,1,"a 2 missed"
"621",509,5,3,1,"h rebound defensive"
"622",499,5,3,1,"h 3 missed"
"623",499,5,3,1,"a rebound defensive"
"624",489,5,3,1,"a 2 missed"
"625",489,5,3,1,"h rebound defensive"
"626",476,8,3,1,"h 3 made"
"627",463,6,3,1,"a 2 made"
"628",435,6,3,1,"h 2 missed"
"629",435,6,3,1,"h rebound offensive"
"630",428,6,3,1,"h 2 missed"
"631",428,6,3,1,"h rebound offensive"
"632",416,9,3,1,"h 3 made"
"633",406,9,3,1,"h foul"
"634",406,9,3,1,"a free throw 1 of 2 missed"
"635",406,9,3,1,"a free throw 2 of 2 missed"
"636",406,9,3,1,"h rebound defensive"
"637",397,9,3,1,"h 3 missed"
"638",397,9,3,1,"h rebound offensive"
"639",392,9,3,1,"h turnover"
"640",392,9,3,1,"a timeOut"
"641",370,9,3,1,"h rebound defensive"
"642",363,9,3,1,"h 2 missed"
"643",363,9,3,1,"h rebound offensive"
"644",356,9,3,1,"h turnover"
"645",347,9,3,1,"a turnover"
"646",343,11,3,1,"h 2 made"
"647",328,11,3,1,"a 3 missed"
"648",328,11,3,1,"h rebound defensive"
"649",324,14,3,1,"h 3 made"
"650",307,11,3,1,"a 3 made"
"651",301,13,3,1,"h 2 made"
"652",284,11,3,1,"a 2 made"
"653",268,11,3,1,"h 3 missed"
"654",268,11,3,1,"a rebound defensive"
"655",255,9,3,1,"a 2 made"
"656",247,9,3,1,"h turnover"
"657",242,9,3,1,"h foul"
"658",242,9,3,1,"a free throw 1 of 2 missed"
"659",242,8,3,1,"a free throw 2 of 2 made"
"660",242,8,3,1,"h turnover"
"661",242,8,3,1,"a turnover"
"662",242,8,3,1,"h 2 missed"
"663",242,8,3,1,"a rebound defensive"
"664",242,8,3,1,"a 2 missed"
"665",242,8,3,1,"a rebound offensive"
"666",242,8,3,1,"a 3 missed"
"667",242,8,3,1,"h rebound defensive"
"668",240,8,3,1,"a foul"
"669",240,8,3,1,"h free throw 1 of 2 missed"
"670",240,9,3,1,"h free throw 2 of 2 made"
"671",240,9,3,1,"a 3 missed"
"672",240,9,3,1,"a rebound offensive"
"673",240,7,3,1,"a 2 made"
"674",238,7,3,1,"a foul"
"675",233,7,3,1,"h turnover"
"676",231,7,3,1,"a 2 missed"
"677",231,7,3,1,"h rebound defensive"
"678",210,7,3,1,"h turnover"
"679",195,7,3,1,"h rebound defensive"
"680",171,7,3,1,"h foul"
"681",171,7,3,1,"h timeOut"
